Angle	Intensity
34.443	7.03E-03
34.46	1.46E-02
34.477	4.53E-03
34.494	1.81E-03
34.511	5.68E-03
34.528	2.05E-02
34.545	3.68E-02
34.562	2.68E-02
34.579	3.14E-02
34.596	1.11E-02
34.613	6.91E-03
34.63	3.78E-02
34.647	2.92E-02
34.664	2.21E-02
34.681	2.82E-02
34.698	1.59E-02
34.715	3.00E-02
34.732	8.99E-03
34.749	1.14E-02
34.766	3.20E-02
34.783	2.42E-02
34.8	9.58E-04
34.817	2.23E-02
34.834	2.03E-02
34.851	1.10E-02
34.868	3.38E-02
34.885	3.99E-02
34.902	1.44E-02
34.919	3.58E-02
34.936	2.94E-02
34.953	1.64E-02
34.97	2.83E-02
34.987	3.28E-02
35.004	3.59E-02
35.021	2.80E-02
35.038	2.31E-02
35.055	3.35E-02
35.072	3.36E-02
35.089	1.84E-02
35.106	1.42E-02
35.123	1.06E-02
35.14	1.45E-02
35.157	3.36E-02
35.174	3.89E-02
35.191	3.17E-02
35.208	3.48E-02
35.225	2.61E-02
35.242	1.75E-02
35.259	3.37E-02
35.276	2.58E-02
35.293	9.80E-03
35.31	2.31E-02
35.327	1.66E-02
35.344	1.16E-02
35.361	2.71E-02
35.378	3.09E-02
35.395	2.73E-02
35.412	3.33E-02
35.429	2.76E-02
35.446	2.33E-02
35.463	1.24E-02
35.48	1.91E-02
35.497	1.84E-02
35.514	2.37E-02
35.531	2.81E-02
35.548	1.73E-02
35.565	1.95E-02
35.582	3.13E-02
35.599	1.31E-02
35.616	1.91E-02
35.633	2.50E-02
35.65	2.21E-02
35.667	3.03E-02
35.684	2.59E-02
35.701	1.80E-02
35.718	1.80E-02
35.735	2.39E-02
35.752	1.45E-02
35.769	1.89E-02
35.786	1.17E-02
35.803	2.85E-02
35.82	-4.32E-03
35.837	3.67E-02
35.854	1.26E-02
35.871	1.41E-02
35.888	9.01E-03
35.905	1.12E-02
35.922	1.27E-02
35.939	2.01E-02
35.956	1.72E-02
35.973	1.83E-03
35.99	1.43E-02
36.007	4.80E-03
36.024	9.93E-03
36.041	1.58E-02
